path,game_name,live,youtube_link,stars
chatgpt-v5-3,Singularity,true,https://www.youtube.com/@slopops,2
deepseek-v3-2,Hoops & Hype,true,https://youtu.be/vkvokrhRKOY?si=hfIdODPF1mnws51m,1
glm-v5-1,F1 Overtake,false,https://www.youtube.com/@slopops,3
mimo-v2-pro,Pizza Toss,true,https://youtu.be/D15o7H_V96g?si=jp6VLS-ZBNEh1Z5p,3
mistral-large-3,Wild West Saloon,false,https://www.youtube.com/@slopops,1
claude-sonnet-v4-6,VOID PILOT,true,https://www.youtube.com/@slopops,3
deepseek-v4,PIT STOP CHALLENGE,false,https://www.youtube.com/@slopops,4
kimi-v2-6,Gold Rush,false,https://www.youtube.com/@slopops,2
minimax-m2-7,Pizza Universe,true,https://youtu.be/D15o7H_V96g?si=jp6VLS-ZBNEh1Z5p,3
qwen-v3-6-plus,STREET COURT 97,true,https://youtu.be/vkvokrhRKOY?si=hfIdODPF1mnws51m,2
