model,provider,interface,reasoning,link,quantization,country,company
Deepseek-3.2,Cloud,Chat,off,https://chat.deepseek.com,685B,China,DeepSeek
Gemma-4,Local,Chat,off,https://huggingface.co/cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit,26B-A4B,USA,Google
Qwen-3.6-Plus,Cloud,Chat,on,https://chat.qwen.ai,??,China,Alibaba
ChatGPT-5.3,Cloud,Chat,off,https://chatgpt.com,??,USA,OpenAI
Kimi-2.5,Cloud,Chat,off,https://kimi.com,1T,China,Moonshot
Opus-4.6,Cloud,Chat,on,https://claude.ai,??,USA,Anthropic
MiMo-V2-Pro,Cloud,Chat,on,https://aistudio.xiaomimimo.com,1T,China,Xiaomi
MiniMax-M2.7,Cloud,Chat,on,https://agent.minimax.io,??,China,MiniMax
Mistral-Large-3,Cloud,Chat,off,https://chat.mistral.ai,675B,France,Mistral
Trinity-Large,Cloud,Chat,on,https://chat.arcee.ai/,400B,USA,Arcee
Step-3.5-Flash,Cloud,Chat,on,https://stepfun.ai/,196B,China,StepFun
Deepseek-v4-Flash,Cloud,Chat,off,https://chat.deepseek.com,284B,China,DeepSeek
